"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4322","verify_Add_Deposit_Amount","Suite","2026-07-17","passed","2026-07-17","test_Class.TC014_Customer_Login_Deposit_Test","Regression","test_Class.TC014_Customer_Login_Deposit_Test","verify_Add_Deposit_Amount"
"","15119","assign_Leave","Default Suite","2026-07-17","passed","2026-07-17","test_Class.TC016_Assign_Leave_Test","MyProject","test_Class.TC016_Assign_Leave_Test","assign_Leave"
"","3841","crossBrowserTest","Suite","2026-07-17","passed","2026-07-17","test_Class.TC004_Cross_Browser_Test","Regression","test_Class.TC004_Cross_Browser_Test","crossBrowserTest"
"","22962","crossBrowserTest","Suite","2026-07-17","passed","2026-07-17","test_Class.TC004_Cross_Browser_Test","Regression","test_Class.TC004_Cross_Browser_Test","crossBrowserTest"
"","1773","loginTest","Suite","2026-07-17","passed","2026-07-17","test_Class.TC008_Writing_Data_From_Xcel_Test","Regression","test_Class.TC008_Writing_Data_From_Xcel_Test","loginTest"
"","6960","File_Download","Suite","2026-07-17","passed","2026-07-17","test_Class.TC005_File_Download_Test","Regression","test_Class.TC005_File_Download_Test","File_Download"
"","5092","Verify_Deposite_Click","Suite","2026-07-17","passed","2026-07-17","test_Class.TC012_Deposite_Test","Regression","test_Class.TC012_Deposite_Test","Verify_Deposite_Click"
"","15882","spect_oveToElement","Suite","2026-07-17","passed","2026-07-17","test_Class.TC019_Spect_MoveToElement_Test","Regression","test_Class.TC019_Spect_MoveToElement_Test","spect_oveToElement"
"","3788","verify_AddCustomer","Suite","2026-07-17","passed","2026-07-17","test_Class.TC001_Add_Customer_Test","Regression","test_Class.TC001_Add_Customer_Test","verify_AddCustomer"
"","4055","crossBrowserTest","Suite","2026-07-17","passed","2026-07-17","test_Class.TC004_Cross_Browser_Test","Regression","test_Class.TC004_Cross_Browser_Test","crossBrowserTest"
"","76334","rotator_Front_Back","Suite","2026-07-17","passed","2026-07-17","test_Class.TC017_Rotator_Front_Back_Content_Test","Regression","test_Class.TC017_Rotator_Front_Back_Content_Test","rotator_Front_Back"
"","6717","Verify_WebTable","Suite","2026-07-17","passed","2026-07-17","test_Class.TC013_WebTable_Test","Regression","test_Class.TC013_WebTable_Test","Verify_WebTable"
"","23613","d_card_Rotator","Suite","2026-07-17","passed","2026-07-17","test_Class.TC018_3D_Rotator_Test","Regression","test_Class.TC018_3D_Rotator_Test","d_card_Rotator"
"","4457","verify_Customer_Login_trasnction","Suite","2026-07-17","passed","2026-07-17","test_Class.TC009_Customer_Login_Transaction_Test","Regression","test_Class.TC009_Customer_Login_Transaction_Test","verify_Customer_Login_trasnction"
"","3730","crossBrowserTest","Suite","2026-07-17","passed","2026-07-17","test_Class.TC004_Cross_Browser_Test","Regression","test_Class.TC004_Cross_Browser_Test","crossBrowserTest"
"","1247","loginTest","Suite","2026-07-17","passed","2026-07-17","test_Class.TC008_Writing_Data_From_Xcel_Test","Regression","test_Class.TC008_Writing_Data_From_Xcel_Test","loginTest"
"","4503","verify_OpenAccount","Suite","2026-07-17","passed","2026-07-17","test_Class.TC002_Open_Account_Test","Regression","test_Class.TC002_Open_Account_Test","verify_OpenAccount"
"","10933","crossBrowserTest","Suite","2026-07-17","passed","2026-07-17","test_Class.TC004_Cross_Browser_Test","Regression","test_Class.TC004_Cross_Browser_Test","crossBrowserTest"
"","6629","File_Upload","Suite","2026-07-17","passed","2026-07-17","test_Class.TC006_File_Upload_Test","Regression","test_Class.TC006_File_Upload_Test","File_Upload"
"","27131","drag_Image","Suite","2026-07-17","passed","2026-07-17","test_Class.TC020_Drag_Image_Test","Regression","test_Class.TC020_Drag_Image_Test","drag_Image"
"","1870","Read_Data_From_xcel","Suite","2026-07-17","passed","2026-07-17","test_Class.TC007_Reading_Data_From_Xcel","Regression","test_Class.TC007_Reading_Data_From_Xcel","Read_Data_From_xcel"
"","3461","verify_Search_Customer","Suite","2026-07-17","passed","2026-07-17","test_Class.TC003_Search_Customer","Regression","test_Class.TC003_Search_Customer","verify_Search_Customer"
"","9813","crossBrowserTest","Suite","2026-07-17","passed","2026-07-17","test_Class.TC004_Cross_Browser_Test","Regression","test_Class.TC004_Cross_Browser_Test","crossBrowserTest"
"","1275","loginTest","Suite","2026-07-17","passed","2026-07-17","test_Class.TC008_Writing_Data_From_Xcel_Test","Regression","test_Class.TC008_Writing_Data_From_Xcel_Test","loginTest"
